name,type,model,complete_prompt,likes,retweets,bookmarks,date,url
"Restroom Mirror Selfie Korean Gamseong",image,Nano Banana,"{""scene"":{""description"":""Stylish restroom dressing area captured via mirror"",""environment"":""Warm wood-laminate stall doors and soft countertop reflections"",""mood"":""Shy-playful confidence; cozy 'Gamseong' aesthetic""},""aesthetic"":{""style"":""Authentic smartphone mirror selfie"",""look"":""Warm interior color gentle roll-off minimal grain filmic soft contrast""},""lighting"":{""description"":""Ceiling LEDs providing warm ambience add subtle front fill from mirror to open eye sockets maintain realistic specular highlights""},""subject"":{""demographics"":{""ethnicity"":""East Asian Korean"",""age"":""adult"",""build"":""Very slender petite with defined waist""},""appearance"":{""hair"":""Messy top-bun with full fringe a few loose side strands"",""skin"":""Natural dewy finish with preserved skin texture""},""pose"":{""type"":""Mirror selfie standing"",""action"":""Gentle smile with lips slightly pressed left hand lightly lifting ruched hem right hand holding phone"",""framing"":""Waist-up 3:4 vertical slight downward camera angle midriff visible""},""wardrobe"":{""top"":""Asymmetrical olive-gray ruched one-shoulder top"",""bottom"":""Low-rise jeans with faux-fur waistband trim""},""accessories"":{""jewelry"":""Thin bracelets rings and delicate hoop earrings"",""phone"":""Smartphone with black cat case featuring a pink bow Hello-Kitty style""}},""props_in_scene"":{""background"":""Wood-grain stall doors with verticals kept true metal hinges subtly visible"",""counter"":""Keep any edge reflections soft and realistic""},""camera_technical"":{""requirements"":""Correct mirror reversal maintain natural body proportions no duplicated phones/hands"",""capture"":""Smartphone wide lens ~24–26mm equiv f/1.8 look ISO ~250 1/125s WB 4200–4400K"",""composition"":""Subject centered with slight lean keep fur texture readable ensure phone and hand pose feel natural"",""retouching"":""Clean minor blemishes only preserve fabric micro-wrinkles and fur fibers avoid haloing"",""avoid"":""Warped doors heavy vignettes oversharpening cartoon smoothing text/watermarks""}}",1599,118,1903,2025-10-27,https://x.com/IamEmily2050/status/1982643287745032379
"Glacial Couture East Asian Editorial",image,Nano Banana,"{""prompt_name"":""Glacial Couture Single Frame Pro East Asian Idol"",""creative_goal"":""One premium editorial image in snow with disciplined styling and tactile luxury"",""style_anchors"":[""High-Fashion Editorial"",""East Asian Idol Editorial"",""Cool–Warm Split"",""Textural Luxury""],""scene"":{""environment"":""Snow-covered glacial clearing framed by tall pines crisp winter air readable footprints leading to subject"",""mood_grade"":""Cool cyan shadows with restrained warm metallic accents high contrast without clipped highlights""},""subject"":{""identity"":""adult East Asian female idol editorial look"",""build"":""slender toned ectomorphic"",""hair"":{""color"":""jet-black"",""style"":""long slightly windswept""},""grooming_style"":""idol-grade luminous skin precise grooming glossy natural lips"",""face_styling"":{""brows"":""soft frost/bleached effect subtle not theatrical"",""eyes"":""whisper of magenta inner-rim satin finish"",""skin_fx"":""cool frost glaze along cheek planes pores intact""},""pose"":""3/4 body rear three-quarters over-shoulder glance hip gently popped left hand near lips holding a single gold chain right foot slightly lifted showing boot tread""},""styling"":{""concept"":""Avant-garde winter couture with restrained ornament"",""outerwear"":""voluminous black Mongolian faux-fur stole wrapped on shoulders matte deep black"",""top"":""extremely cropped black shrug integrated with opera gloves non-sheer"",""bottom"":""high-cut black editorial bikini bottom matte tasteful coverage"",""legs_and_footwear"":""tall faux-fur leg warmers with pom-pom ties over heavy black winter boots deep sole texture visible"",""jewelry"":""one medium-weight gold chain draped from temple across cheek to hand no biting minimal additional chains tucked under fur"",""micro_accent"":""slim crimson enamel clasp/buckle with fine silver filigree single piece only"",""hand_fx"":""right glove/hand finished with cracked gold leaf for tactile highlight"",""palette_notes"":""true blacks fur/boots vs icy whites snow/skin with selective warm gold and a single crimson micro-accent""},""composition"":{""orientation"":""vertical 9:16"",""shot_type"":""3/4 body environmental portrait one frame only"",""framing"":""subject on right third low horizon vertical pines as clean columns negative space behind head"",""lighting"":""natural winter sun with negative fill camera-right to sculpt jaw circular polarizer to control snow glare optional 1/8 Black Pro-Mist for gentle halation on metals""},""camera"":{""system"":""Canon EOS R5 full-frame 45MP 14-bit RAW"",""lens"":""RF 85mm f/1.2L use at f/3.5 for crisp separation"",""focal_length_mm"":85,""aperture_f"":3.5,""shutter_s"":""1/1250"",""iso"":100,""white_balance_k"":5600,""color_space"":""AdobeRGB"",""file_format"":""RAW CR3"",""focus_mode"":""Eye-AF single point on near eye"",""metering_mode"":""Spot on skin"",""exposure_comp_ev"":""+0.7"",""stabilization"":""IBIS on lens IS off"",""filters"":[""Circular polarizer""],""notes"":""ETTR snow without clipping check CPL rotation each angle""},""exposure_strategy"":{""histogram"":""right-weighted protected speculars on ice and gold leaf"",""bracketing"":""±0.7 EV 3 frames as safety""},""post_processing"":{""raw_dev"":""Neutral profile highlight recovery contrast via custom tone curve avoid clarity overshoot"",""local"":""micro-dodge eyes chain edges gold-leaf cracks preserve skin texture protect true blacks"",""grade"":""cool cyan shadows neutral mids selective saturation only on gold and the single crimson clasp"",""grain"":""fine subtle for tactile feel""},""photographer_notes"":""Keep horizon level maintain clean silhouette separation from tree line keep styling minimal and balanced""}",426,27,316,2025-10-25,https://x.com/IamEmily2050/status/1982124075175870728
"Editorial Red Dress Studio Portrait",image,Nano Banana,"{""description"":""High-end editorial studio portrait of an elegant young East Asian woman standing gracefully against a neutral gradient wall background. She wears a form-fitting long-sleeve red dress with off-shoulder ribbon ties. One hand touches her hair while the other rests near her chest eyes gently closed expression serene and introspective. Smooth wavy hair cascading over shoulders soft radiant skin texture natural yet refined makeup emphasizing pink lips and light blush. The mood is intimate poised and cinematic."",""camera"":{""body"":""Canon EOS R5"",""lens"":""RF 85mm f/1.2L"",""focal_length_mm"":85,""aperture"":""f/2.0"",""iso"":100,""shutter_speed"":""1/200s"",""white_balance"":""5600K"",""focus_mode"":""manual precise eye focus"",""shooting_mode"":""portrait vertical frame""},""lighting"":{""type"":""single key light"",""source"":""softbox from camera left at 45° angle"",""fill_light"":""none or very subtle ambient bounce"",""background_light"":""faint gradient falloff on neutral wall"",""intensity"":""medium-high contrast"",""color_temperature"":""neutral daylight"",""mood"":""dramatic chiaroscuro with smooth transitions""},""environment"":{""location"":""minimalist indoor studio"",""background"":""plain neutral wall with subtle light gradient"",""floor"":""not visible"",""props"":""none""},""post_processing"":{""style"":""fine art editorial portrait retouch"",""color_grade"":""neutral with vibrant reds preserved"",""film_grain"":""light analog grain"",""contrast"":""strong yet balanced"",""sharpness"":""high facial detail"",""tone_curve"":""S-curve with lifted shadows"",""output_format"":""16-bit TIFF"",""aspect_ratio"":""2:3"",""resolution_px"":[1536,2304]},""aesthetic_reference"":{""influences"":[""Peter Coulson"",""Lara Jade"",""Lindsay Adler""],""style_tags"":[""high fashion"",""chiaroscuro lighting"",""cinematic editorial"",""minimalist studio"",""fine art portraiture""]},""atmosphere"":{""emotion"":""calm introspective poised"",""color_tone"":""rich red accent with neutral tones"",""texture_feel"":""smooth polished timeless"",""light_behavior"":""gentle falloff soft gradient shadow on wall""}}",294,28,170,2025-10-23,https://x.com/IamEmily2050/status/1481486777727963412
"90s Pool Deck Flash Photography",image,Nano Banana,"{""scene"":{""location"":""outdoor pool deck near a white building"",""background"":""clear blue sky with green foliage on the left bright midday sun"",""vibe"":""candid handheld nostalgic early-1990s consumer film""},""subject"":{""age"":""adult"",""description"":""athletic woman with tanned smooth skin beaded with water droplets wet hair loosely tied back"",""wardrobe"":""white ribbed tank top black high-waisted swim shorts white Nike Air Force 1 sneakers"",""pose"":""relaxed full-body slight hip pop one hand brushing hair other at side casual confident stance"",""expression"":""playful cute and alluring direct gaze to camera""},""camera"":{""type"":""1990s consumer point-and-shoot film camera"",""lens_equiv_mm"":35,""flash"":""built-in on-camera flash fired"",""film"":""ISO 800 consumer film"",""aperture_f"":5.6,""shutter_s"":0.008,""focus"":""center AF soft edge focus""},""aesthetic"":{""traits"":[""slight motion blur"",""heavy film grain"",""high ISO noise"",""soft focus edges"",""washed-out colors"",""subtle overexposure"",""low dynamic range"",""timestamp overlay in orange digits"",""looks like cheap 4x6 lab print"",""imperfect realism""]},""lighting"":{""sun"":""hard midday sun enhancing color and fabric texture"",""flash"":""direct on-axis fill from built-in flash creating 90s snapshot look"",""notes"":""specular highlights on skin and water droplets slight shadow fall behind subject""},""color_grade"":{""cast"":""slight warm shift with cyan in shadows typical of mini-lab prints"",""contrast"":""low to medium"",""saturation"":""muted with sun-boosted primaries""}}",13,1,17,2025-10-21,https://x.com/IamEmily2050/status/1980483623695577282
"Black White Two Model Editorial",image,Nano Banana,"{""scene"":{""floor_color_hex"":""#8B8B8B"",""background"":""smooth seamless matte gray floor spotless no gear no cables""},""subject"":{""models"":[{""description"":""adult woman with very deep brown skin long flowing black hair intense direct gaze upward"",""wardrobe"":""full-coverage black glittering bodysuit with sparkle texture throughout"",""makeup"":""dramatic defined eyes with strong eyeliner contoured features deep lip color""},{""description"":""adult woman with pale skin platinum blonde voluminous curly hair vulnerable direct gaze upward"",""wardrobe"":""nude or skin-toned minimal coverage with body powder"",""makeup"":""soft natural beauty makeup subtle eyes natural lip""}],""styling"":""heavy white/silver cosmetic powder and glitter covering the blonde model's entire body black glittering texture on the dark-skinned model's bodysuit both figures heavily dusted with sparkle""},""composition"":{""camera_view"":""top-down from directly above"",""framing"":""subjects centered with magazine masthead space at top tight framing on intertwined bodies"",""hair_arrangement"":""blonde curly hair spread dramatically to lower left black straight hair flowing to right side"",""pose_rules"":""intimate embrace with bodies intertwined dark-skinned model positioned over blonde model limbs wrapped around each other blonde model's legs bent upward dark-skinned model's arm embracing heads positioned close with both faces looking directly up at camera asymmetric organic pose suggesting vulnerability and connection""},""camera"":{""sensor"":""full_frame"",""focal_length_mm"":85,""aperture_f"":5.6,""shutter_s"":0.00625,""iso"":200,""white_balance_k"":5000,""mount"":""overhead boom"",""camera_height_m"":3.5,""focus"":""manual live-view on both faces sufficient depth of field to keep both subjects sharp""},""lighting"":{""style"":""even overhead beauty lighting with soft fill"",""key"":""large overhead softbox creating even illumination across both subjects"",""fill"":""ambient bounce from sides to lift shadows gently"",""notes"":""no visible fixtures minimal shadows lighting emphasizes glitter sparkle and skin tone contrast preserve texture of powder and bodysuit""},""look"":{""grade"":""neutral color with accurate skin tone rendering slight cool cast in background"",""contrast"":""medium-high for editorial impact"",""clarity"":""enhanced on eyes hair texture and glitter particles"",""skin"":""natural texture preserved on blonde model under powder smooth rendering on dark-skinned model"",""grain"":""minimal fine grain for editorial quality""}}",493,47,362,2025-10-16,https://x.com/IamEmily2050/status/1978967819585994778
"Frost Bus Stop Night Portrait",image,Nano Banana,"{""description"":""A hyper-realistic 4K full-body night-time portrait of a 23-year-old Korean woman with clear pale skin and long straight black hair tucked behind one ear"",""subject"":{""age"":23,""ethnicity"":""Korean"",""skin_tone"":""pale"",""hair"":{""colour"":""black"",""style"":""long straight tucked behind one ear""},""pose"":""standing at a frost-covered bus stop arms folded against the cold"",""expression"":""70% quiet annoyance 30% amused resignation as if re-reading a text she regrets sending""},""outfit"":{""top_layers"":[""black blazer"",""navy sweatshirt"",""crisp white dress shirt"",""thin black tie""],""bottom"":""ultra-short black pleated skirt"",""legwear"":""brand-new white knee-length pelerine socks"",""footwear"":""polished black shoes""},""environment"":{""location"":""night-time city bus stop"",""ground"":""icy pavement reflecting distant headlights"",""fog"":""dense occupying the top third of the frame"",""bus_shelter"":{""glass"":""steamed-up with one finger-drawn smiley that melts faster than the surrounding condensation""},""lighting"":""cool blue-white high contrast cinematic""},""hidden_detail"":""reflection in her left shoe: a blurred red double-decker bus that may or may not be arriving"",""camera"":{""angle"":""low eye-level full body in frame"",""lens_simulation"":""Phase-One medium-format realism"",""depth_of_field"":""sharp focus on subject soft bokeh on distant lights""}}",1394,147,0,2025-09-13,https://x.com/IamEmily2050/status/1966758558483272144
"Tokyo Rain Cat Bus Corgi Night",image,Nano Banana,"{""view"":""POV from inside a car dash-cam perspective through rain-streaked windshield"",""scene"":{""time"":""02:00"",""city"":""Tokyo"",""location_detail"":""Shibuya Crossing"",""weather"":""torrential rain"",""ground_state"":""wet asphalt with puddles and reflective sheen"",""neon_signs"":""pink neon kanji reflected on road surface""},""subjects"":[{""id"":""cat_bus"",""category"":""magical vehicle"",""style_hint"":""Ghibli-inspired soft friendly forms not flat cel shading"",""material"":""translucent body panels"",""scale"":""giant"",""state"":""idling at a red light"",""lighting"":""interior glowing soft amber""},{""id"":""girl"",""category"":""teenage human"",""footwear"":""LED sneakers subtle light on soles"",""wardrobe"":""rain-soaked streetwear"",""prop"":""transparent umbrella"",""pose_action"":""leans down and kisses the corgi"",""emotion"":""tender""},{""id"":""corgi"",""category"":""dog"",""wardrobe"":""hoodie"",""pose_action"":""standing upright on hind legs under the umbrella"",""expression"":""content""}],""composition"":{""framing"":""windshield edges implied subjects off-center for natural documentary feel"",""focus"":""sharp focus on girl and corgi cat bus readable foreground raindrops semi-sharp"",""depth_of_field"":""shallow-to-medium""},""cinematography"":{""lens"":""anamorphic look"",""effects"":[""cinematic lens flares"",""slight chromatic aberration""],""grade"":""high-contrast teal–orange with cyber-pink accents"",""texture"":[""fine film-grain"",""puddle bokeh"",""steam wisps near street grates""]}}",1143,117,0,2025-09-10,https://x.com/IamEmily2050/status/1965719485085802999
"Blue Hour Rooftop Chalk Message",image,Nano Banana,"{""prompt"":{""concept"":""After-the-rain school rooftop at blue hour quiet cinematic goodbye"",""subject"":""Adult Korean woman not a minor in school-style blazer knit vest tie pleated skirt knee-high socks polished black loafers earbuds plugged to phone"",""pose"":""full-body by the chain-link fence one hand holding phone at side the other resting on fence calm direct gaze"",""environment"":{""setting"":""concrete rooftop with painted court arcs and shallow puddles reflecting city neon chain-link fence metal stairwell door ajar distant skyline and passing train lights"",""weather_time"":""rain just ended thin mist teal-to-warm sky gradient"",""props_micro"":[""paper timetable taped to fence edges fluttering"",""single chalk piece near her loafer"",""on wet concrete near her shoes: a chalk smiling face and the handwritten phrase 'i miss you' lowercase slightly rain-smeared yet legible"",""spinning roof vent"",""folded umbrella against railing""]},""lighting"":{""key"":""ambient blue-hour sky"",""rim"":""warm sodium rim from stairwell door behind her"",""practicals"":""city windows and rooftop safety lamp reflecting in puddles"",""accents"":""phone screen glow on fingers crisp eye catchlights breeze lifts hair tips""},""camera"":{""lens_mm"":35,""aperture"":2.0,""iso"":200,""shutter_speed"":""1/160"",""angle"":""slight low angle to include sky and fence leading lines"",""focus"":""sharp on face shoes clearly resolved background gently soft"",""framing"":""vertical full-body with headroom include chalk writing at feet""},""grade"":""cinematic teal–orange low-contrast film curve subtle grain 6–8 clean blacks no clipped highlights"",""emotion_notes"":""nostalgia + forward motion—storm passed city waking""}}",727,73,0,2025-09-19,https://x.com/IamEmily2050/status/1968996441512436207
"Y2K Mirror Selfie Lo-Fi Aesthetic",image,Nano Banana,"{""scene"":""casual 2010s phone selfie unintentional snapshot"",""subject"":{""type"":""adult woman idol vibe"",""age_range"":""20s"",""hair"":""straight or simple ponytail"",""makeup"":""glossy lips eyeliner highlight"",""jewelry"":""small hoops thin chain bracelets""},""wardrobe"":{""top"":""basic tee or camisole"",""bottom"":""denim shorts or mini skirt"",""footwear"":""sneakers or ankle boots"",""notes"":""everyday outfit not styled""},""pose"":{""angle"":""mirror selfie FULL BODY"",""body"":""standing weight on one hip"",""hands"":""phone in one hand other relaxed or in pocket"",""framing"":""HEAD-TO-SHOES feet visible not cropped""},""camera"":{""device"":""iPhone 4/5 era"",""flash"":""on harsh LED with mirror glare"",""orientation"":""vertical"",""aspect_ratio"":""4:3"",""distance"":""2–3m from mirror to capture full body"",""focus"":""soft slight hand-shake blur""},""look"":{""texture"":""grainy digital noise mild JPEG artifacts"",""sharpness"":""low soft focus"",""color"":""cool indoor white balance blown highlights from flash"",""effects"":""subtle vignette cheap filter vibe""},""background"":{""environment"":""bedroom or bathroom clutter allowed visible floor"",""props"":""framed mirror phone visible""}}",4717,305,0,2025-09-09,https://x.com/IamEmily2050/status/1965375024426353080
"Kawaii Cat Notebook Illustration",image,Nano Banana,"{""style"":""hand-drawn classroom anchor chart on cream lined notebook paper kawaii illustration clean handwritten markers playful doodles"",""canvas"":{""ratio"":""4:5"",""resolution"":""1600x2000"",""background"":""cream notebook paper with blue ruled lines and faint pink margin""},""palette"":{""teal"":""#19897A"",""green"":""#2E7D32"",""pink"":""#FF4FA3"",""blue"":""#1E63FF"",""purple"":""#7E57C2"",""black"":""#0B0B0B"",""white"":""#FAFAFA""},""layers"":[{""type"":""title"",""text"":""Emily JSON Note"",""marker_color"":""teal"",""weight"":""extra-bold""},{""type"":""paragraph"",""text"":""How to organize a precise JSON prompt for image generation""},{""type"":""subtitle"",""text"":""Core Fields"",""marker_color"":""green""},{""type"":""bullet_list"",""items"":[""State the goal in one line"",""Define canvas ratio resolution background"",""Centralize colors in a palette"",""Build content as ordered layers"",""Add must_have_tokens and negative_prompt""]},{""type"":""bubble_group"",""note"":""three pink cloud bubbles with a simple fish doodle inside each no text"",""shape"":""cloud"",""count"":3,""stroke_color"":""pink""},{""type"":""cat_cute"",""note"":""kawaii black cat no text or labels"",""style"":""rounded head big eyes tiny nose small body sitting side view matte fill"",""fill_color"":""black"",""no_text_on_cat"":true},{""type"":""weird_eye"",""note"":""surreal doodle eye in lower-left corner"",""stroke_color"":""purple""}]}",610,71,0,2025-09-26,https://x.com/IamEmily2050/status/1971596119017927150
